2016-05-10 11:28:47 install libgssapi-krb5-2:amd64 <none> 1.12.1+dfsg-19+deb8u2
2016-05-10 11:28:47 status half-installed libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
2016-05-10 11:28:47 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
2016-05-10 11:28:47 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
2016-05-10 11:28:47 install libsasl2-modules-db:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2016-05-10 11:28:47 status half-installed libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2016-05-10 11:28:47 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2016-05-10 11:28:47 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2016-05-10 11:28:47 install libsasl2-2:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2016-05-10 11:28:47 status half-installed libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2016-05-10 11:28:47 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2016-05-10 11:28:47 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2016-05-10 11:28:47 install libldap-2.4-2:amd64 <none> 2.4.40+dfsg-1+deb8u2
2016-05-10 11:28:47 status half-installed libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u2
2016-05-10 11:28:47 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u2
2016-05-10 11:28:47 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u2
2016-05-10 11:28:48 install libmagic1:amd64 <none> 1:5.22+15-2+deb8u1
2016-05-10 11:28:48 status half-installed libmagic1:amd64 1:5.22+15-2+deb8u1
2016-05-10 11:28:48 status unpacked libmagic1:amd64 1:5.22+15-2+deb8u1
2016-05-10 11:28:48 status unpacked libmagic1:amd64 1:5.22+15-2+deb8u1
2016-05-10 11:28:48 install libsqlite3-0:amd64 <none> 3.8.7.1-1+deb8u1
2016-05-10 11:28:48 status half-installed libsqlite3-0:amd64 3.8.7.1-1+deb8u1
2016-05-10 11:28:48 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u1
2016-05-10 11:28:48 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u1
2016-05-10 11:28:48 install libwrap0:amd64 <none> 7.6.q-25
